Repository_file,Related_paper_case,Description,Key_parameters,Error_term_convention,Chinese_error_term_convention
matlab/photovoltaic_case.m,Case II,Six-PV benchmark with CP/CC groups and different thresholds,"CP: Imax=1.0, voff=0.4; CC: Imax=1.1, voff=0.3",ecv = Common-Voltage-Reduction Error; eal = Admissible-Law-Approximation Error,ecv = 同电压压缩误差；eal = 允许函数类近似误差
matlab/wind_farm_case.m,Case IV,Realistic offshore wind farm with two turbine types,"Type-A: kq=2.7, Imax=1.1, voff=0.4; Type-B: kq=2.2, Imax=1.0, voff=0.3",ecv = Common-Voltage-Reduction Error; eal = Admissible-Law-Approximation Error,ecv = 同电压压缩误差；eal = 允许函数类近似误差
